name,ra,dec,vmag
HIP 72370,221.9655257,-79.04471242, 3.83
HIP 81065,248.3644341,-78.89695917, 3.86
HIP 107089,325.368638,-77.38946215, 3.73
HIP 2021,6.41334183,-77.25503511, 2.82
HIP 17678,56.80929799,-74.23924251, 3.26
HIP 50954,156.0989187,-74.03154474, 3.99
HIP 98495,300.1474723,-72.91018443, 3.97
HIP 37504,115.4549835,-72.60613528, 3.93
HIP 61199,188.117129,-72.1329759, 3.84
HIP 63613,195.5657397,-71.54879865, 3.61
HIP 34481,107.1867688,-70.49919435, 3.78
HIP 50099,153.4344955,-70.03792169, 3.29
HIP 45238,138.3010033,-69.71747245, 1.67
HIP 61585,189.2961821,-69.13553358, 2.69
HIP 82273,252.1661074,-69.02763503, 1.91
HIP 74946,229.7278701,-68.67946723, 2.87
HIP 62322,191.5702901,-68.10809405, 3.04
HIP 35228,109.2076284,-67.95717248, 3.97
HIP 57363,176.4023639,-66.72884344, 3.63
HIP 102395,311.2398153,-66.20323826, 3.42
HIP 99240,302.1744171,-66.17932101, 3.55
HIP 41312,126.4343594,-66.13652042, 3.77
HIP 48002,146.7755734,-65.07201888, 2.92
HIP 71908,220.6278543,-64.97456957, 3.18
HIP 17440,56.04814541,-64.80709398, 3.84
HIP 86929,266.4333435,-64.7237345, 3.61
HIP 52419,160.739278,-64.39447937, 2.74
HIP 79664,243.8594423,-63.68564897, 3.86
HIP 77952,238.7867001,-63.42974973, 2.83
HIP 60718,186.6497559,-63.09905586, 0.77
HIP 56561,173.9455345,-63.01982488, 3.11
HIP 47854,146.3117815,-62.50792328, 3.69
HIP 26069,83.40631813,-62.48985585, 3.76
HIP 19780,63.60596306,-62.47397888, 3.33
HIP 45101,137.8198661,-62.31701587, 3.96
HIP 32607,102.0480713,-61.94197988, 3.24
HIP 51576,158.0061825,-61.68536031, 3.30
HIP 9236,29.69113269,-61.56992444, 2.86
HIP 50371,154.2708554,-61.33231977, 3.39
HIP 71681,219.9141283,-60.83947139, 1.35
HIP 71683,219.9204103,-60.83514707,-0.01
HIP 85727,262.774904,-60.68360667, 3.60
HIP 43783,133.7619236,-60.64471195, 3.84
HIP 60260,185.3408804,-60.40136988, 3.59
HIP 68702,210.956019,-60.3729784, 0.61
HIP 110130,334.6257426,-60.25949486, 2.87
HIP 62434,191.9304954,-59.68873246, 1.25
HIP 41037,125.628603,-59.50953829, 1.86
HIP 45556,139.2726183,-59.27526115, 2.21
HIP 82363,252.4462976,-59.04131648, 3.77
HIP 54463,167.1474818,-58.97504198, 3.93
HIP 45080,137.7421054,-58.96693014, 3.43
HIP 53253,163.3731926,-58.85326474, 3.78
HIP 59747,183.7864873,-58.74890179, 2.79
HIP 51232,156.9697711,-58.73940856, 3.81
HIP 103227,313.7024151,-58.4540947, 3.67
HIP 114996,349.3575502,-58.23592762, 3.99
HIP 7588,24.42813204,-57.23666007, 0.45
HIP 61084,187.791372,-57.11256922, 1.59
HIP 46701,142.8056407,-57.0343916, 3.16
HIP 100751,306.4118735,-56.73488071, 1.94
HIP 85267,261.3485827,-56.37768824, 3.31
HIP 83081,254.6551282,-55.99005508, 3.12
HIP 85258,261.3249883,-55.52982397, 2.84
HIP 5348,17.0960837,-55.24583235, 3.94
HIP 21281,68.49882684,-55.04500559, 3.30
HIP 45941,140.5284551,-55.01069531, 2.47
HIP 42913,131.1758221,-54.70856797, 1.93
HIP 48774,149.2156452,-54.5677973, 3.52
HIP 55425,170.2518427,-54.49101395, 3.90
HIP 66657,204.9719696,-53.46636269, 2.29
HIP 38827,119.1947573,-52.98240062, 3.46
HIP 42536,130.0733717,-52.92197259, 3.60
HIP 30438,95.98787763,-52.69571799,-0.62
HIP 59449,182.9131309,-52.36841559, 3.97
HIP 74395,228.0716798,-52.09907465, 3.41
HIP 9007,28.98680207,-51.60958673, 3.69
HIP 10602,34.12708452,-51.51211145, 3.56
HIP 112623,342.1383214,-51.31670354, 3.49
HIP 27321,86.82118054,-51.06671329, 3.85
HIP 59196,182.0897651,-50.72240999, 2.58
HIP 32768,102.4839035,-50.61439973, 2.94
HIP 60823,187.0100483,-50.2306048, 3.91
HIP 88714,271.6578283,-50.09145462, 3.65
HIP 85792,262.9605066,-49.87598159, 2.84
HIP 52727,161.6921754,-49.42012517, 2.69
HIP 7083,22.81242306,-49.07307701, 3.93
HIP 61932,190.3800208,-48.95988553, 2.20
HIP 74376,227.9840043,-48.73770212, 3.88
HIP 61622,189.4263659,-48.54128816, 3.85
HIP 51986,159.3260698,-48.22561631, 3.84
HIP 71860,220.482391,-47.38814127, 2.30
HIP 39953,122.3831473,-47.33661177, 1.75
HIP 101772,309.3916237,-47.29166239, 3.11
HIP 68002,208.8851454,-47.28826634, 2.55
HIP 44511,136.0388356,-47.09771376, 3.75
HIP 73807,226.279607,-47.05119386, 3.91
HIP 109268,332.0578184,-46.96061593, 1.73
HIP 112122,340.6663953,-46.88456594, 2.07
HIP 5165,16.52127713,-46.71849042, 3.32
HIP 42570,130.1565637,-46.64875492, 3.77
HIP 69996,214.8509697,-46.05808391, 3.55
HIP 43023,131.5068946,-46.0415392, 3.87
HIP 90422,276.7434595,-45.96832919, 3.49
HIP 765,2.35224949,-45.74698836, 3.88
HIP 114421,347.5892831,-45.24664747, 3.88
HIP 68282,209.6698807,-44.8035314, 3.87
HIP 75264,230.6703647,-44.68957314, 3.37
